# sensor:g_force
# Inertial correction: sensor=g_force; operation=add; unit=1; x=0.0; y=0.0; z=0.0
time,gFx,gFy,gFz,gFTotal
0.000,0.004,-0.519,-0.873,1.016
0.010,0.014,-0.535,-0.918,1.062
0.020,0.034,-0.527,-0.880,1.026
0.030,0.039,-0.530,-0.870,1.020
0.040,0.034,-0.539,-0.894,1.045
0.050,0.021,-0.537,-0.916,1.062
0.060,0.018,-0.529,-0.961,1.097
0.070,0.027,-0.516,-0.986,1.113
0.080,0.032,-0.502,-0.996,1.116
0.090,0.025,-0.507,-1.014,1.134
0.100,0.025,-0.536,-1.023,1.155
0.110,0.048,-0.553,-1.012,1.154
0.120,0.061,-0.571,-0.985,1.140
0.130,0.080,-0.611,-0.986,1.163
0.140,0.108,-0.631,-0.991,1.180
0.151,0.135,-0.639,-0.973,1.172
0.160,0.167,-0.663,-0.953,1.173
0.170,0.181,-0.679,-0.932,1.168
0.181,0.186,-0.689,-0.913,1.159
0.190,0.193,-0.697,-0.888,1.145
0.201,0.199,-0.691,-0.875,1.132
0.211,0.206,-0.683,-0.859,1.117
0.220,0.211,-0.671,-0.851,1.104
0.230,0.193,-0.631,-0.861,1.085
0.241,0.199,-0.599,-0.782,1.005
0.250,0.227,-0.559,-0.748,0.961
0.260,0.233,-0.540,-0.700,0.914
0.270,0.203,-0.539,-0.661,0.877
0.280,0.159,-0.538,-0.639,0.850
0.290,0.121,-0.546,-0.616,0.832
0.301,0.094,-0.562,-0.605,0.831
0.310,0.087,-0.562,-0.616,0.838
0.320,0.091,-0.554,-0.642,0.853
0.330,0.100,-0.537,-0.670,0.864
0.341,0.116,-0.521,-0.703,0.882
0.351,0.156,-0.522,-0.740,0.919
0.360,0.199,-0.493,-0.762,0.929
0.370,0.233,-0.472,-0.790,0.950
0.381,0.255,-0.482,-0.809,0.976
0.390,0.263,-0.492,-0.799,0.974
0.401,0.264,-0.513,-0.796,0.983
0.410,0.267,-0.536,-0.803,1.002
0.420,0.266,-0.536,-0.792,0.992
0.431,0.260,-0.538,-0.788,0.989
0.441,0.248,-0.535,-0.808,1.001
0.451,0.234,-0.535,-0.809,0.998
0.461,0.220,-0.540,-0.809,0.997
0.470,0.208,-0.536,-0.803,0.988
0.481,0.188,-0.532,-0.766,0.952
0.491,0.150,-0.544,-0.729,0.922
0.500,0.107,-0.566,-0.677,0.889
0.511,0.065,-0.596,-0.624,0.866
0.520,0.019,-0.639,-0.593,0.872
0.531,-0.005,-0.677,-0.583,0.893
0.541,-0.001,-0.688,-0.591,0.907
0.551,0.016,-0.688,-0.610,0.919
0.561,0.054,-0.689,-0.641,0.943
0.570,0.116,-0.683,-0.651,0.950
0.581,0.200,-0.660,-0.633,0.936
0.591,0.252,-0.646,-0.673,0.966
0.601,0.267,-0.643,-0.740,1.016
0.611,0.269,-0.626,-0.796,1.048
0.620,0.259,-0.607,-0.883,1.102
0.631,0.259,-0.594,-0.995,1.188
0.641,0.251,-0.584,-1.119,1.287
0.651,0.252,-0.566,-1.206,1.356
0.661,0.276,-0.549,-1.217,1.363
0.670,0.303,-0.557,-1.165,1.326
0.681,0.330,-0.609,-1.036,1.246
0.691,0.377,-0.666,-0.925,1.201
0.701,0.419,-0.699,-0.879,1.199
0.711,0.432,-0.730,-0.982,1.298
0.720,0.421,-0.729,-1.104,1.389
0.731,0.409,-0.688,-1.238,1.474
0.741,0.416,-0.656,-1.202,1.431
0.750,0.460,-0.580,-0.798,1.088
0.761,0.579,-0.503,-0.612,0.981
0.770,0.628,-0.423,-0.389,0.851
0.781,0.613,-0.416,-0.317,0.806
0.791,0.527,-0.447,-0.333,0.766
0.801,0.421,-0.524,-0.331,0.749
0.811,0.291,-0.591,-0.362,0.752
0.820,0.188,-0.583,-0.498,0.789
0.830,0.054,-0.643,-0.776,1.009
0.841,0.008,-0.819,-0.916,1.228
0.850,0.014,-0.694,-0.827,1.079
0.861,0.193,-0.787,-0.605,1.011
0.870,0.227,-1.230,-0.471,1.337
0.881,0.134,-1.342,-0.562,1.461
0.891,0.053,-1.271,-0.475,1.358
0.901,-0.090,-1.284,-0.240,1.309
0.911,-0.026,-1.460,-0.104,1.464
0.920,-0.190,-1.416,0.013,1.429
0.931,-0.253,-1.242,0.191,1.281
0.941,-0.241,-1.127,0.327,1.198
0.951,-0.251,-1.079,0.334,1.157
0.961,-0.160,-0.997,0.155,1.022
0.971,-0.140,-0.904,-0.058,0.917
0.981,-0.171,-0.826,-0.184,0.864
0.991,-0.248,-0.824,-0.242,0.894
1.001,-0.430,-0.852,-0.564,1.109
1.011,-0.637,-0.745,-0.695,1.201
1.020,-0.665,-0.549,-0.135,0.873
1.031,-0.552,-0.738,0.053,0.923
1.041,-0.375,-0.957,0.028,1.029
1.051,-0.192,-0.976,0.037,0.995
1.061,-0.071,-0.954,0.005,0.956
1.071,0.006,-0.909,-0.046,0.910
1.081,0.035,-0.828,-0.074,0.832
1.091,0.019,-0.754,-0.153,0.769
1.101,-0.067,-0.715,-0.263,0.765
1.111,-0.098,-0.698,-0.312,0.771
1.121,-0.089,-0.770,-0.239,0.811
1.131,-0.051,-0.871,-0.128,0.882
1.141,-0.066,-0.941,-0.000,0.943
1.151,-0.089,-0.940,0.028,0.945
1.161,-0.096,-0.891,0.017,0.896
1.170,-0.074,-0.891,0.055,0.895
1.181,-0.026,-0.957,0.131,0.967
1.191,0.025,-0.968,0.168,0.983
1.201,0.098,-0.931,0.124,0.944
1.211,0.181,-0.951,0.122,0.976
1.221,0.229,-0.985,0.161,1.024
1.231,0.241,-0.977,0.132,1.014
1.241,0.222,-0.914,0.023,0.941
1.251,0.144,-0.824,-0.141,0.848
1.261,0.061,-0.744,-0.262,0.791
1.271,-0.007,-0.750,-0.283,0.801
1.281,-0.134,-0.811,-0.093,0.827
1.291,-0.139,-0.869,0.048,0.881
1.301,-0.092,-0.955,0.012,0.960
1.311,-0.098,-0.963,0.083,0.972
1.321,-0.021,-0.907,0.075,0.911
1.331,0.046,-0.910,-0.269,0.950
1.341,0.060,-0.727,-0.454,0.860
1.351,0.119,-0.567,-0.391,0.699
1.361,0.136,-0.563,-0.354,0.679
1.371,0.195,-0.478,-0.238,0.569
1.381,0.227,-0.434,-0.193,0.527
1.391,0.287,-0.598,-0.184,0.688
1.401,0.426,-0.842,-0.074,0.946
1.411,0.492,-0.946,0.116,1.073
1.421,0.521,-0.899,0.337,1.092
1.431,0.523,-0.837,0.615,1.163
1.441,0.507,-0.856,0.886,1.333
1.451,0.508,-0.917,0.921,1.395
1.461,0.478,-0.877,0.577,1.154
1.471,0.430,-0.778,0.210,0.913
1.481,0.383,-0.800,0.128,0.897
1.491,0.351,-0.929,0.350,1.053
1.501,0.381,-1.071,0.488,1.237
1.511,0.436,-1.190,0.511,1.367
1.521,0.479,-1.291,0.633,1.516
1.531,0.510,-1.313,0.786,1.613
1.541,0.558,-1.252,0.770,1.572
1.551,0.588,-1.161,0.705,1.480
1.561,0.594,-1.091,0.632,1.393
1.571,0.575,-1.030,0.561,1.307
1.581,0.549,-0.968,0.525,1.231
1.591,0.525,-0.900,0.417,1.122
1.601,0.528,-0.904,0.246,1.075
1.611,0.535,-0.959,0.231,1.122
1.621,0.548,-0.963,0.341,1.159
1.631,0.616,-0.954,0.452,1.222
1.641,0.704,-0.965,0.581,1.328
1.651,0.769,-1.036,0.758,1.497
1.661,0.761,-1.115,0.858,1.599
1.671,0.683,-1.060,0.828,1.509
1.681,0.617,-0.921,0.750,1.338
1.691,0.578,-0.787,0.652,1.174
1.701,0.552,-0.682,0.529,1.025
1.711,0.527,-0.603,0.436,0.912
1.721,0.501,-0.499,0.385,0.805
1.731,0.485,-0.417,0.396,0.752
1.741,0.510,-0.462,0.445,0.819
1.751,0.603,-0.571,0.465,0.952
1.761,0.631,-0.607,0.504,1.010
1.771,0.590,-0.598,0.515,0.985
1.781,0.551,-0.618,0.502,0.968
1.791,0.541,-0.621,0.485,0.956
1.801,0.557,-0.579,0.455,0.923
1.811,0.554,-0.545,0.409,0.878
1.821,0.555,-0.548,0.367,0.862
1.831,0.585,-0.579,0.375,0.905
1.841,0.608,-0.629,0.467,0.992
1.851,0.630,-0.691,0.511,1.066
1.861,0.719,-0.781,0.551,1.197
1.871,0.790,-0.929,0.662,1.387
1.882,0.751,-0.993,0.712,1.435
1.891,0.714,-0.884,0.565,1.269
1.901,0.718,-0.657,0.522,1.105
1.911,0.747,-0.453,0.557,1.036
1.921,0.775,-0.320,0.387,0.924
1.931,0.586,-0.208,0.203,0.654
1.942,0.370,-0.002,0.230,0.436
1.951,0.337,0.198,0.288,0.486
1.961,0.404,0.272,0.135,0.506
1.972,0.469,0.268,-0.013,0.540
1.982,0.482,0.191,-0.056,0.522
1.991,0.491,0.057,-0.060,0.498
2.001,0.518,-0.006,-0.014,0.518
2.011,0.460,-0.074,0.001,0.466
2.021,0.409,-0.111,0.056,0.428
2.032,0.393,-0.073,0.152,0.428
2.042,0.309,-0.068,0.192,0.370
2.051,0.264,-0.015,0.346,0.435
2.061,0.391,0.192,0.413,0.601
2.071,0.580,0.387,0.443,0.826
2.082,0.706,0.575,0.483,1.031
2.092,0.877,0.760,0.361,1.215
2.101,1.083,0.824,0.208,1.377
2.112,1.149,0.863,0.128,1.442
2.121,1.164,0.885,0.149,1.469
2.132,1.204,0.803,0.203,1.461
2.141,1.216,0.672,0.208,1.405
2.151,1.280,0.640,0.248,1.452
2.161,1.296,0.715,0.209,1.495
2.171,1.255,0.827,0.199,1.516
2.182,1.235,0.891,0.151,1.531
2.191,1.219,0.782,0.095,1.451
2.201,1.165,0.613,0.051,1.318
2.212,1.049,0.524,-0.069,1.174
2.221,1.098,0.579,0.527,1.348
2.232,1.148,0.326,0.391,1.256
2.242,1.108,0.487,0.024,1.211
2.251,0.942,0.819,0.160,1.258
2.262,0.873,0.824,-0.160,1.211
2.271,0.905,0.877,-0.201,1.276
2.282,0.834,0.980,-0.223,1.306
2.291,0.765,0.899,-0.260,1.209
2.302,0.704,0.770,-0.186,1.060
2.311,0.816,0.856,-0.255,1.210
2.321,0.811,0.802,-0.184,1.156
2.862,0.432,0.539,0.234,0.729
2.872,0.413,0.580,0.148,0.727
2.882,-0.036,0.860,0.143,0.872
2.892,-0.096,0.933,0.180,0.955
2.902,-0.060,0.888,0.355,0.959
2.912,-0.050,0.797,0.345,0.870
2.922,-0.094,0.707,0.274,0.764
2.932,-0.142,0.698,0.098,0.719
2.942,-0.120,0.681,-0.095,0.698
2.952,-0.048,0.787,-0.225,0.820
2.962,0.161,1.138,-0.203,1.167
2.972,0.447,1.471,-0.120,1.542
2.983,0.862,1.469,-0.081,1.705
2.992,1.023,1.338,0.029,1.684
3.002,0.933,0.999,0.170,1.377
3.012,0.899,1.022,0.194,1.375
3.022,0.754,1.259,0.268,1.492
3.032,0.586,1.403,0.266,1.543
3.042,0.386,1.416,0.191,1.481
3.052,0.023,1.285,0.044,1.286
3.062,-0.187,1.143,-0.056,1.160
3.072,-0.223,1.185,0.194,1.221
3.082,-0.403,1.234,0.422,1.365
3.092,-0.533,0.974,0.558,1.243
3.102,-0.759,0.627,0.690,1.202
3.112,-0.803,0.319,0.704,1.114
3.122,-0.581,0.318,0.893,1.112
3.132,-0.320,0.606,0.995,1.208
3.142,-0.085,0.712,0.661,0.975
3.152,-0.016,0.953,0.499,1.076
3.162,-0.034,1.046,0.227,1.071
3.172,-0.070,0.963,0.099,0.971
3.182,-0.054,0.887,0.073,0.891
3.192,0.003,0.802,0.066,0.805
3.202,0.192,0.716,0.208,0.770
3.212,0.285,0.770,0.106,0.828
3.222,0.169,0.817,-0.017,0.834
3.232,0.069,0.896,0.074,0.901
3.242,0.021,0.967,0.126,0.975
3.252,-0.014,0.871,0.081,0.875
3.262,0.196,0.825,0.632,1.058
3.272,0.310,0.925,0.698,1.199
3.282,0.387,1.032,0.493,1.207
3.292,0.450,1.123,0.510,1.313
3.302,0.450,1.211,0.576,1.414
3.312,0.399,1.269,0.553,1.440
3.322,0.320,1.142,0.426,1.260
3.332,0.282,0.922,0.370,1.033
3.342,0.212,0.892,0.341,0.978
3.352,0.127,0.939,0.266,0.984
3.362,0.322,0.986,0.392,1.109
3.372,0.319,0.945,0.245,1.027
3.382,0.188,0.922,0.226,0.968
3.392,0.184,0.910,0.289,0.973
3.402,0.193,0.913,0.287,0.976
3.412,0.162,0.883,0.283,0.941
3.422,0.152,0.859,0.329,0.933
3.432,0.165,0.863,0.334,0.940
3.442,0.187,0.881,0.302,0.950
3.452,0.236,0.901,0.314,0.983
3.462,0.262,0.970,0.253,1.036
3.472,0.221,0.915,0.248,0.973
3.482,0.195,0.875,0.231,0.926
3.492,0.185,0.916,0.336,0.993
3.502,0.194,0.874,0.362,0.966
3.512,0.206,0.876,0.304,0.950
3.522,0.206,0.855,0.264,0.918
3.532,0.215,0.840,0.275,0.909
3.542,0.244,0.880,0.284,0.957
3.552,0.210,0.899,0.275,0.963
3.562,0.161,0.906,0.293,0.966
3.572,0.181,0.960,0.276,1.015
3.582,0.195,1.003,0.214,1.044
3.592,0.163,0.972,0.286,1.026
3.602,0.152,0.972,0.365,1.049
3.612,0.159,0.963,0.374,1.045
3.622,0.157,0.984,0.348,1.055
3.633,0.185,1.038,0.341,1.108
3.642,0.124,1.037,0.287,1.083
3.652,0.078,0.984,0.294,1.030
3.663,0.089,0.951,0.336,1.012
3.672,0.142,0.951,0.376,1.032
3.682,0.205,0.937,0.346,1.019
3.693,0.239,0.916,0.306,0.994
3.702,0.265,0.895,0.299,0.981
3.712,0.268,0.890,0.319,0.982
3.722,0.239,0.889,0.339,0.981
3.732,0.217,0.909,0.327,0.990
3.742,0.213,0.917,0.328,0.997
3.752,0.203,0.920,0.311,0.992
3.762,0.214,0.933,0.271,0.995
3.772,0.226,0.944,0.253,1.003
3.783,0.236,0.927,0.258,0.991
3.792,0.290,0.906,0.282,0.992
3.802,0.276,0.885,0.292,0.972
3.813,0.272,0.898,0.307,0.987
3.822,0.316,0.922,0.326,1.028
3.832,0.308,0.917,0.313,1.017
3.842,0.271,0.907,0.262,0.982
3.852,0.264,0.930,0.260,1.002
3.862,0.185,0.928,0.255,0.980
3.872,0.278,0.992,0.307,1.075
3.882,0.256,0.932,0.228,0.993
3.892,0.199,0.937,0.171,0.973
3.902,0.211,0.916,0.286,0.982
3.912,0.184,0.901,0.258,0.955
3.922,0.167,0.895,0.277,0.952
3.933,0.201,0.926,0.278,0.988
3.942,0.223,0.949,0.266,1.011
3.952,0.152,0.923,0.195,0.956
3.963,0.095,0.878,0.175,0.900
3.972,0.078,0.888,0.235,0.922
3.983,0.177,1.009,0.225,1.049
3.993,0.236,0.999,0.266,1.060
4.002,0.254,0.981,0.271,1.049
4.012,0.224,0.984,0.265,1.043
4.022,0.197,0.940,0.305,1.007
4.033,0.156,0.872,0.367,0.959
4.042,0.155,0.858,0.287,0.918
4.052,0.245,1.005,0.202,1.054
4.063,0.322,0.985,0.278,1.073
4.073,0.348,0.939,0.353,1.062
4.083,0.380,0.929,0.295,1.046
4.093,0.419,0.924,0.200,1.034
4.102,0.416,0.901,0.111,0.999
4.113,0.379,0.836,0.116,0.925
4.122,0.326,0.845,0.122,0.914
4.133,0.310,0.895,0.116,0.954
4.143,0.289,0.923,0.122,0.975
4.152,0.295,0.935,0.162,0.994
4.163,0.257,0.940,0.187,0.992
4.172,0.290,0.943,0.227,1.012
4.183,0.229,0.824,0.234,0.886
4.193,0.157,0.821,0.141,0.848
4.202,0.290,1.049,0.214,1.109
4.213,0.415,1.018,0.188,1.115
4.222,0.468,0.964,0.253,1.101
4.233,0.449,0.926,0.335,1.082
4.243,0.376,0.868,0.303,0.993
4.252,0.294,0.916,0.233,0.990
4.263,0.253,0.885,0.199,0.942
4.273,0.269,0.900,0.185,0.958
4.283,0.281,0.876,0.196,0.940
4.293,0.295,0.959,0.219,1.027
4.302,0.393,0.985,0.220,1.083
4.313,0.395,0.904,0.189,1.005
4.322,0.414,0.948,0.190,1.052
4.333,0.575,0.900,0.208,1.088
4.343,0.565,0.840,0.248,1.042
4.352,0.383,0.831,0.242,0.946
4.363,0.331,0.809,0.210,0.899
4.373,0.284,0.835,0.170,0.898
4.383,0.266,0.896,0.227,0.962
4.393,0.211,0.939,0.308,1.010
4.402,0.141,0.957,0.375,1.037
4.413,0.184,0.919,0.467,1.047
4.423,0.291,0.768,0.364,0.898
4.433,0.312,0.768,0.234,0.861
4.443,0.285,0.892,0.254,0.970
4.452,0.287,0.972,0.281,1.051
4.463,0.322,0.964,0.278,1.054
4.473,0.429,0.855,0.292,1.000
4.483,0.534,0.801,0.384,1.036
4.493,0.534,0.857,0.416,1.092
4.503,0.442,0.921,0.327,1.072
4.513,0.365,0.991,0.319,1.103
4.523,0.338,0.977,0.317,1.082
4.533,0.335,0.928,0.314,1.036
4.543,0.315,0.874,0.320,0.983
4.552,0.254,0.840,0.316,0.933
4.563,0.202,0.866,0.243,0.921
4.573,0.238,0.900,0.242,0.962
4.583,0.251,0.891,0.289,0.970
4.593,0.270,0.886,0.283,0.969
4.602,0.281,0.919,0.237,0.989
4.613,0.298,0.936,0.178,0.998
4.623,0.332,0.957,0.227,1.038
4.633,0.336,0.921,0.234,1.008
4.643,0.314,0.881,0.278,0.975
4.652,0.339,0.898,0.251,0.992
4.663,0.358,0.914,0.277,1.020
4.673,0.378,0.926,0.321,1.050
4.683,0.395,0.902,0.347,1.044
4.693,0.404,0.864,0.332,1.010
4.703,0.406,0.835,0.318,0.981
4.713,0.408,0.826,0.307,0.971
4.722,0.399,0.825,0.299,0.964
4.733,0.398,0.842,0.286,0.975
4.743,0.301,0.863,-1.015,1.366
4.753,-0.291,0.999,-3.460,3.613
4.763,-0.104,0.828,0.271,0.878
4.773,0.958,0.517,3.783,3.937
4.783,1.181,0.567,0.905,1.592
4.793,0.217,0.988,-0.662,1.209
4.803,-0.179,0.207,1.549,1.573
4.813,0.551,1.111,1.273,1.777
4.823,0.672,1.357,0.564,1.616
4.833,0.410,0.990,0.214,1.092
4.843,0.329,0.957,0.086,1.015
4.853,0.318,0.927,0.171,0.994
4.863,0.353,0.960,0.249,1.052
4.873,0.429,0.996,0.304,1.126
4.883,0.446,0.980,0.312,1.121
4.893,0.429,0.938,0.221,1.055
4.903,0.372,0.871,0.182,0.965
4.913,0.332,0.861,0.214,0.947
4.923,0.316,0.884,0.281,0.980
4.933,0.329,0.894,0.344,1.013
4.943,0.358,0.886,0.385,1.030
4.953,0.418,0.893,0.413,1.069
4.963,0.436,0.923,0.490,1.132
4.973,0.416,0.945,0.559,1.175
4.983,0.340,0.898,0.531,1.097
4.993,0.301,0.866,0.400,1.000
5.003,0.316,0.849,0.203,0.928
5.013,0.340,0.827,-0.058,0.896
5.023,0.371,0.822,-0.227,0.930
5.033,0.409,0.811,-0.299,0.956
5.043,0.453,0.801,-0.333,0.978
5.053,0.468,0.882,-0.202,1.019
5.063,0.476,0.970,-0.064,1.082
5.073,0.497,0.961,0.047,1.082
5.084,0.496,0.912,0.122,1.045
5.093,0.498,0.873,0.152,1.016
5.103,0.484,0.842,0.155,0.984
5.113,0.459,0.812,0.127,0.941
5.123,0.423,0.824,0.103,0.932
5.133,0.387,0.866,0.069,0.951
5.143,0.368,0.898,0.032,0.971
5.153,0.363,0.917,0.012,0.987
5.163,0.360,0.926,0.017,0.993
5.173,0.352,0.942,0.022,1.006
5.183,0.357,0.929,0.025,0.995
5.193,0.368,0.912,0.038,0.984
5.203,0.371,0.919,0.029,0.992
5.213,0.370,0.917,0.020,0.989
5.223,0.370,0.893,0.025,0.967
5.234,0.370,0.916,0.038,0.988
5.243,0.368,0.918,0.024,0.989
5.253,0.384,0.915,0.006,0.992
5.263,0.377,0.927,-0.008,1.001
5.273,0.373,0.936,-0.046,1.008
5.283,0.380,0.897,-0.054,0.976
5.293,0.381,0.888,-0.050,0.968
5.303,0.390,0.925,-0.048,1.005
5.313,0.407,0.920,-0.057,1.008
5.323,0.415,0.918,-0.059,1.009
5.333,0.430,0.915,-0.050,1.012
5.343,0.443,0.938,-0.041,1.038
5.353,0.445,0.912,-0.068,1.017
5.363,0.438,0.899,-0.053,1.001
5.373,0.428,0.907,-0.085,1.007
5.384,0.412,0.932,-0.083,1.022
5.393,0.414,0.936,-0.088,1.027
5.403,0.426,0.917,-0.094,1.015
5.413,0.427,0.910,-0.098,1.010
5.423,0.417,0.906,-0.103,1.003
5.433,0.419,0.906,-0.099,1.003
5.443,0.414,0.910,-0.098,1.005
5.453,0.411,0.912,-0.101,1.006
5.463,0.418,0.911,-0.100,1.008
5.473,0.422,0.904,-0.110,1.004
5.484,0.427,0.892,-0.119,0.996
5.493,0.428,0.886,-0.126,0.992
5.503,0.422,0.896,-0.132,1.000
5.513,0.421,0.914,-0.130,1.015
5.523,0.432,0.893,-0.146,1.003
5.534,0.422,0.906,-0.130,1.008
5.543,0.418,0.914,-0.121,1.012
5.553,0.420,0.908,-0.106,1.006
5.564,0.416,0.906,-0.095,1.002
5.573,0.416,0.903,-0.086,0.998
5.583,0.409,0.901,-0.080,0.992
5.594,0.398,0.902,-0.080,0.990
5.603,0.405,0.903,-0.075,0.993
5.613,0.410,0.901,-0.067,0.992
5.623,0.401,0.907,-0.061,0.993
5.633,0.406,0.904,-0.061,0.993
5.643,0.406,0.906,-0.062,0.995
5.653,0.394,0.916,-0.064,0.999
5.663,0.397,0.917,-0.058,1.001
5.673,0.401,0.916,-0.060,1.002
5.684,0.388,0.914,-0.085,0.997
5.693,0.389,0.909,-0.100,0.994
5.703,0.391,0.904,-0.091,0.989
5.714,0.394,0.895,-0.071,0.981
5.723,0.383,0.903,-0.078,0.984
5.734,0.397,0.909,-0.082,0.995
5.744,0.413,0.916,-0.074,1.008
5.753,0.427,0.915,-0.069,1.012
5.763,0.437,0.914,-0.068,1.015
5.774,0.438,0.911,-0.062,1.013
5.784,0.444,0.894,-0.054,1.000
5.793,0.423,0.889,-0.058,0.986
5.803,0.453,0.878,-0.058,0.989
5.813,0.436,0.890,-0.061,0.993
5.823,0.424,0.901,-0.079,0.999
5.833,0.430,0.906,-0.085,1.007
5.843,0.424,0.914,-0.068,1.010
5.853,0.427,0.913,-0.064,1.010
5.864,0.425,0.907,-0.061,1.004
5.873,0.413,0.910,-0.052,1.001
5.884,0.411,0.908,-0.053,0.998
5.894,0.405,0.906,-0.055,0.994
5.903,0.413,0.895,-0.041,0.987
5.913,0.428,0.890,-0.023,0.987
5.924,0.420,0.894,-0.045,0.989
5.934,0.423,0.894,-0.041,0.990
5.944,0.422,0.895,-0.036,0.990
5.953,0.410,0.901,-0.041,0.991
5.964,0.396,0.905,-0.036,0.989
5.973,0.391,0.910,-0.039,0.991
5.984,0.397,0.916,-0.045,0.999
5.994,0.397,0.914,-0.055,0.998
6.003,0.399,0.904,-0.079,0.992
6.014,0.406,0.899,-0.101,0.991
6.024,0.405,0.892,-0.119,0.987
6.034,0.405,0.893,-0.134,0.989
6.044,0.408,0.895,-0.141,0.994
6.053,0.412,0.901,-0.143,1.001
6.064,0.415,0.892,-0.143,0.994
6.074,0.420,0.883,-0.134,0.987
6.084,0.424,0.883,-0.120,0.987
6.094,0.434,0.876,-0.096,0.982
6.103,0.437,0.865,-0.069,0.972
6.114,0.424,0.863,-0.046,0.963
6.124,0.410,0.880,-0.038,0.972
6.134,0.404,0.907,-0.066,0.995
6.144,0.405,0.915,-0.100,1.006
6.153,0.408,0.930,-0.126,1.023
6.164,0.415,0.932,-0.135,1.029
6.174,0.417,0.921,-0.137,1.020
6.184,0.425,0.910,-0.141,1.014
6.194,0.437,0.930,-0.138,1.037
6.203,0.449,0.858,-0.150,0.980
6.214,0.455,0.882,-0.129,1.001
6.224,0.449,0.913,-0.132,1.026
6.234,0.445,0.911,-0.126,1.021
6.244,0.434,0.910,-0.123,1.016
6.253,0.415,0.906,-0.118,1.004
6.264,0.393,0.910,-0.114,0.998
6.274,0.377,0.918,-0.117,0.999
6.284,0.377,0.924,-0.125,1.006
6.294,0.381,0.924,-0.141,1.010
6.303,0.390,0.916,-0.153,1.007
6.314,0.408,0.912,-0.148,1.010
6.324,0.428,0.906,-0.134,1.011
6.334,0.439,0.912,-0.107,1.018
6.344,0.434,0.924,-0.103,1.026
6.353,0.411,0.921,-0.135,1.018
6.364,0.384,0.904,-0.163,0.996
6.374,0.368,0.896,-0.188,0.987
6.384,0.384,0.894,-0.185,0.990
6.394,0.414,0.878,-0.155,0.983
6.403,0.439,0.877,-0.115,0.988
6.414,0.428,0.897,-0.105,1.000
6.424,0.422,0.897,-0.092,0.996
6.434,0.410,0.898,-0.083,0.991
6.444,0.416,0.901,-0.061,0.994
6.453,0.433,0.910,-0.057,1.009
6.464,0.409,0.923,-0.088,1.013
6.474,0.364,0.932,-0.130,1.009
6.484,0.348,0.927,-0.145,1.001
6.494,0.350,0.910,-0.139,0.985
6.503,0.377,0.898,-0.118,0.981
6.514,0.426,0.893,-0.071,0.992
6.524,0.463,0.901,-0.007,1.013
6.534,0.490,0.917,0.052,1.041
6.544,0.502,0.923,0.066,1.052
6.553,0.475,0.931,0.056,1.047
6.564,0.432,0.930,0.018,1.025
6.574,0.408,0.915,-0.032,1.002
6.584,0.405,0.898,-0.059,0.987
6.594,0.415,0.876,-0.067,0.972
6.604,0.428,0.861,-0.061,0.963
6.614,0.437,0.844,-0.045,0.952
6.624,0.437,0.828,-0.017,0.937
6.634,0.426,0.830,0.004,0.933
6.644,0.406,0.853,0.024,0.945
6.654,0.387,0.887,0.023,0.968
6.664,0.380,0.917,-0.008,0.992
6.674,0.375,0.931,-0.047,1.005
6.684,0.376,0.931,-0.073,1.007
6.694,0.388,0.922,-0.081,1.003
6.704,0.406,0.909,-0.076,0.998
6.714,0.424,0.899,-0.056,0.996
6.724,0.431,0.898,-0.018,0.996
6.734,0.430,0.893,0.020,0.991
6.744,0.435,0.892,0.050,0.994
6.754,0.438,0.912,0.054,1.014
6.764,0.416,0.941,0.011,1.029
6.774,0.391,0.939,-0.033,1.017
6.784,0.386,0.923,-0.057,1.002
6.794,0.399,0.910,-0.061,0.995
6.804,0.413,0.895,-0.043,0.986
6.814,0.423,0.889,-0.011,0.984
6.824,0.432,0.888,0.023,0.988
6.834,0.432,0.884,0.043,0.985
6.844,0.431,0.875,0.048,0.977
6.854,0.418,0.884,0.018,0.978
6.864,0.413,0.887,-0.020,0.979
6.874,0.414,0.894,-0.047,0.986
6.884,0.418,0.898,-0.063,0.992
6.894,0.424,0.913,-0.064,1.008
6.904,0.421,0.930,-0.060,1.022
6.914,0.428,0.934,-0.057,1.029
6.924,0.422,0.932,-0.050,1.024
6.934,0.412,0.920,-0.053,1.009
6.944,0.411,0.902,-0.046,0.993
6.954,0.422,0.879,-0.033,0.976
6.964,0.432,0.869,-0.028,0.971
6.974,0.438,0.872,-0.001,0.976
6.984,0.440,0.876,0.028,0.981
6.994,0.429,0.884,0.020,0.983
7.004,0.415,0.896,-0.006,0.988
7.015,0.411,0.909,-0.042,0.998
7.024,0.416,0.911,-0.058,1.003
7.034,0.414,0.915,-0.058,1.006
7.044,0.417,0.913,-0.071,1.006
7.054,0.415,0.913,-0.071,1.005
7.064,0.418,0.908,-0.056,1.001
7.074,0.428,0.897,-0.036,0.995
7.084,0.433,0.892,-0.031,0.992
7.094,0.433,0.889,-0.014,0.989
7.104,0.432,0.894,-0.016,0.993
7.114,0.438,0.889,-0.015,0.991
7.124,0.436,0.891,-0.011,0.992
7.135,0.429,0.893,-0.006,0.991
7.144,0.419,0.894,-0.006,0.987
7.154,0.419,0.896,-0.005,0.989
7.164,0.410,0.903,-0.003,0.992
7.174,0.405,0.902,-0.004,0.988
7.184,0.414,0.899,-0.004,0.990
7.195,0.409,0.902,-0.007,0.990
